date,up_count,down_count
2021-01-04,4.0,0.0
2021-01-06,1.0,1.0
2021-01-12,0.0,1.0
2021-01-14,4.0,2.0
2021-01-17,0.0,1.0
2021-01-19,4.0,0.0
2021-01-20,3.0,0.0
2021-01-21,1.0,0.0
2021-01-25,1.0,2.0
2021-01-27,0.0,1.0
2021-01-28,0.0,1.0
2021-01-29,1.0,1.0
2021-01-31,0.0,1.0
2021-02-02,0.0,2.0
2021-02-04,0.0,1.0
2021-02-07,2.0,3.0
2021-02-08,1.0,1.0
2021-02-09,2.0,0.0
2021-02-15,2.0,0.0
2021-02-18,2.0,4.0
2021-02-21,0.0,1.0
2021-02-22,1.0,0.0
2021-02-23,1.0,0.0
2021-02-24,0.0,5.0
2021-02-25,1.0,3.0
2021-03-02,1.0,0.0
2021-03-08,1.0,1.0
2021-03-09,1.0,1.0
2021-03-13,1.0,0.0
2021-03-22,0.0,1.0
2021-03-23,3.0,2.0
2021-03-24,1.0,0.0
2021-03-25,1.0,2.0
2021-03-30,0.0,3.0
2021-03-31,1.0,0.0
2021-04-04,1.0,0.0
2021-04-06,1.0,0.0
2021-04-08,0.0,2.0
2021-04-09,0.0,1.0
2021-04-11,2.0,0.0
2021-04-12,2.0,0.0
2021-04-13,2.0,0.0
2021-04-15,2.0,0.0
2021-04-26,1.0,0.0
2021-04-27,1.0,0.0
2021-04-30,1.0,0.0
2021-05-02,2.0,1.0
2021-05-03,1.0,0.0
2021-05-13,3.0,1.0
2021-05-17,2.0,0.0
2021-05-20,1.0,3.0
2021-05-21,1.0,0.0
2021-05-23,3.0,0.0
2021-05-24,1.0,0.0
2021-05-25,0.0,2.0
2021-05-26,0.0,2.0
2021-05-27,4.0,0.0
2021-06-03,1.0,0.0
2021-06-04,2.0,2.0
2021-06-11,0.0,1.0
2021-06-15,0.0,2.0
2021-06-16,2.0,0.0
2021-06-17,1.0,0.0
2021-06-18,1.0,0.0
2021-06-24,2.0,0.0
2021-06-28,4.0,0.0
2021-06-29,2.0,0.0
2021-06-30,2.0,0.0
2021-07-01,1.0,0.0
2021-07-02,0.0,1.0
2021-07-05,0.0,2.0
2021-07-14,6.0,2.0
2021-07-15,3.0,1.0
2021-07-16,5.0,0.0
2021-07-19,2.0,0.0
2021-07-22,1.0,1.0
2021-07-23,2.0,3.0
2021-07-25,1.0,0.0
2021-07-26,1.0,1.0
2021-07-27,0.0,1.0
2021-07-29,3.0,1.0
2021-08-01,5.0,0.0
2021-08-02,1.0,1.0
2021-08-03,1.0,0.0
2021-08-04,1.0,2.0
2021-08-05,0.0,1.0
2021-08-09,1.0,0.0
2021-08-10,0.0,1.0
2021-08-17,2.0,0.0
2021-08-19,1.0,0.0
2021-08-26,1.0,0.0
2021-09-01,2.0,3.0
2021-09-02,1.0,0.0
2021-09-03,2.0,0.0
2021-09-07,4.0,0.0
2021-09-08,2.0,1.0
2021-09-09,1.0,1.0
2021-09-10,0.0,1.0
2021-09-12,3.0,0.0
2021-09-13,1.0,0.0
2021-09-15,1.0,1.0
2021-09-17,0.0,1.0
2021-09-27,1.0,0.0
2021-09-28,1.0,0.0
2021-09-29,4.0,0.0
2021-09-30,0.0,1.0
2021-10-12,1.0,2.0
2021-10-13,1.0,0.0
2021-10-14,1.0,0.0
2021-10-15,0.0,1.0
2021-10-16,0.0,1.0
2021-10-18,0.0,2.0
2021-10-20,2.0,0.0
2021-10-22,1.0,0.0
2021-10-25,0.0,1.0
2021-10-26,1.0,0.0
2021-10-27,0.0,1.0
2021-10-29,2.0,0.0
