	title	label
0	네이버 AI 접목 검색 서비스 에어서치 선봬	0
1	네이버 KCGS 2021 ESG평가서 종합 A 등급 획득	0
2	3세대 미생물 처리기 린클 11월 1일 네이버 쇼핑 라이브 진행	0
3	네이버 분기 최대 실적 달성 3Q 영업익 3498억원	0
4	닥터나인 오는 29일 금 네이버 라이브 커머스 진행	0
5	네이버웹툰 자동채색 서비스 웹툰 AI 페인터 출시	0
6	친환경농산물자조금관리위원회 네이버 쇼핑라이브 대한민국 팔도 기획전 성료	0
7	네이버 D2SF AI 기반 콘텐츠 테크 스타트업 플라스크 후속 투자	0
8	노웅래 의원 네이버 한성숙 대표 위증 고발 검토	0
9	네이버 굿스플로한진택배와 전통시장 택배 실험 확대	0
10	네이버파이낸셜 네이버페이 현장결제 수수료 전액 지원 연말까지 연장	0
11	네이버클라우드 라인웍스 2021일본 굿디자인어워드 수상	0
12	네이버파이낸셜 스마트스토어 사업자 대출 출시 10개월만에 대출액 1천억원	0
13	공공 누리집에서 네이버 신한은행 간편인증 이용 가능해진다	0
14	네이버 이마트 장보기 오픈 e커머스 경쟁력 강화	0
15	고수아 플라이런웨이 네이버쇼핑페스타 디자이너 붐업day 선정	0
16	22일 금 비비딕 네이버 쇼핑 라이브 선보여	0
17	네이버 22년간 근로감독 단 2번 노동부가 직장내괴롭힘 키웠다	0
18	네이버파이낸셜BNK경남은행 디지털금융서비스 MOU	0
19	에스티씨랩 넷퍼넬 네이버클라우드 마켓플레이스 입점 공동 이벤트 진행	0
20	네이버 NeurIPS 2021에서 8개 논문 채택	0
21	네이버카카오 뉴스제평위 상반기 뉴스스탠드 2곳 뉴스검색 13곳 통과	0
22	네이버 2021 한글 및 한국어 정보처리 학술대회서 15개 논문 채택독보적인 한국어 AI 기술력 입증	0
23	코렐 브랜드 디즈니 콜라보 신제품 2종 런칭 기념 네이버 쇼핑 라이브	0
24	닥터나인 20일 네이버 쇼핑라이브 생방송	0
25	네이버 한글날 기념 캠페인 페이지 공개	0
26	네이버클라우드 네이버웍스 일본 비즈니스 채팅 1위	0
27	NFT 플랫폼 미르니 네이버 계열 VC 스프링캠프에서 시드 투자 유치	0
28	네이버 한글날 맞아 마루 부리 5종 글꼴 무료 배포 나서	0
29	네이버 D2SF 물류 IT 스타트업 테크타카 시드 투자 유치 1년만에 후속 투자	0
30	네이버카카오구글은 물렀거라가비아 하이웍스 2021 그룹웨어 1위 위용	0
31	네이버이마트 지역명물 챌린지 최종 상품 선정 나서	0
32	온열매트 브랜드 닥터나인 네이버 쇼핑 라이브 특가 방송 진행	0
33	린클 오는 18일 네이버 쇼핑 라이브 진행 라이브 완판 도전	0
